"","title","geo_accession","source_name_ch1","source_name_ch2","characteristics_ch1","characteristics_ch2","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch2.1","characteristics_ch2.2","characteristics_ch2.3","reference source:ch2","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch2.4","library_source"
"-0.782158821","DD035.031 Sep 24 Atlantic Salmon Head Kidney Study Slide 031","GSM16101","Cy3-Labeled Piscirickettsia salmonis-infected Salmo salar head kidney","Cy5-Labeled Non-infected Salmo salar head kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0.422784483","DD035.032 Sep 24 Atlantic Salmon Head Kidney Study Slide 032","GSM16389","Cy3-Labeled Piscirickettsia salmonis-infected Salmo salar head kidney","Cy5-Labeled Non-infected Salmo salar head kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.042230168","DD035.033 Sep 24 Atlantic Salmon Head Kidney Study Slide 033","GSM16390","Cy3-Labeled Non-infected Salmo salar head kidney","Cy5-Labeled Piscirickettsia salmonis-infected Salmo salar head kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-0.040865037","DD035.034 Sep 24 Atlantic Salmon Head Kidney Study Slide 034","GSM16391","Cy3-Labeled Non-infected Salmo salar head kidney","Cy5-Labeled Piscirickettsia salmonis-infected Salmo salar head kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141604","Channel catfish Liver control 3d replicate1","GSM141604","Channel catfish Liver 3d control",NA,"Livers from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141617","Channel catfish Liver control 3d replicate2","GSM141617","Channel catfish Liver 3d control",NA,"Liver from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141618","Channel catfish Liver control 3d replicate3","GSM141618","Channel catfish Liver 3d control",NA,"Liver from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141622","Channel catfish Liver ESC-infection 3d replicate1","GSM141622","Channel catfish Liver 3d post ESC infection",NA,"Liver from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141626","Channel catfish Liver ESC-infection 3d replicate2","GSM141626","Channel catfish Liver 3d post ESC infection",NA,"Liver from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM141631","Channel catfish Liver ESC-infection 3d replicate3","GSM141631","Channel catfish Liver 3d post ESC infection",NA,"Liver from ~15 cm long Kansas Random strain channel catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146824","Blue catfish Liver control 3d replicate 1","GSM146824","Blue catfish liver 3d control",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146825","Blue catfish Liver control 3d replicate2","GSM146825","Blue catfish Liver 3d control",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146827","Blue catfish liver control 3d replicate3","GSM146827","Blue catfish liver 3d control",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146828","Blue catfish Liver ESC-infection 3d replicate1","GSM146828","Blue catfish Liver 3d post ESC infection",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146829","Blue catfish Liver ESC-infection 3d replicate2","GSM146829","Blue catfish Liver 3d post ESC infection",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM146830","Blue catfish Liver ESC-infection 3d replicate3","GSM146830","Blue catfish Liver 3d post ESC infection",NA,"Livers from ~15 cm long D&B strain blue catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159453...17","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 1","GSM159453","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 1","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSM159455...18","Sasa kidney sample on day5 after waterborne challenged by IHN, replicate 3","GSM159455","kidney tissue from a fish sampled on day5 after challenged by waterborne exposure to Infectious hematopoietic necrosis (IHN)  virus, strain 93-057, replicate 3","pooled reference sample from all individuals collected","Number of individuals: 1;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)","Number of individuals: 72;  mean weight:  55.3 g; Tissue: hematopoietic end of the kidney (the anterior 1/3rd including the head and mid kidney)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
